name|average_rate|nb_of_reviews|address
Italian Kitchen|4,3|583|42 Av. Gambetta, 93170 Bagnolet
Pizza Mamma Paris|4,7|99|31 Rue Pétion, 75011 Paris
Italian Kitchen|4,3|583|42 Av. Gambetta, 93170 Bagnolet
The Best Chicken|3,9|22|127 Rue Pelleport, 75020 Paris
Pizza Milano - chez Samy|4,3|52|9 Rue Guillaume Bertrand, 75011 Paris
La Belle Pizze|4,3|32|349 Rue de Belleville, 75019 Paris
Pizza maya Feu De Bois|3,8|4|93170 Bagnolet
Lauretta|4,1|178|48 Bd de la Villette, 75019 Paris
Clip Pizza|5,0|1|178 Rue de Belleville, 75020 Paris
Croq Pizza|4,3|108|24 Rue Godefroy Cavaignac, 75011 Paris
Antioche|4,9|16|2 Rue de la Réunion, 75020 Paris
IL SANTO|4,3|123|78 Av. du Dr Arnold Netter, 75012 Paris
Semina|4,6|46|152 Rue de Charonne, 75011 Paris
Pizza Mario|4,1|174|19 Av. de la République, 75011 Paris
Lim Siu Hung|4,9|16|95 Rue Orfila, 75020 Paris
Pizza Maestro.|4,0|81|57 Rue Sadi Carnot, 93170 Bagnolet
McDonald's|3,6|2348|Place Gambetta, 7 Face Mairie du, 75020 Paris
RFC Chicken - Pizza|3,8|46|59 Av. Philippe Auguste, 75011 Paris
Le Relais des Pyrénées|4,2|83|256 Rue des Pyrénées, 75020 Paris
LA BOÎTE A PIZZA Paris 12 Courteline|4,1|186|2 Av. Courteline, 75012 Paris
Coin Sud|4,3|90|9 Av. Simon Bolivar, 75019 Paris
Pizza 30 Paris|3,3|30|50 Rue Godefroy Cavaignac, 75011 Paris
Casa Pizza|4,8|299|35 Av. Duquesne, 75007 Paris
Popu Bistro à Pizza|4,8|676|12 Rue du Champ de Mars, 75007 Paris
Pizza Hut|3,8|321|22bis Rue Jean Nicot, 75007 Paris
Sonata Pizzeria Invalides|4,5|315|56 Bd de la Tour-Maubourg, 75007 Paris
I PUPI|4,4|209|21 Rue Malar, 75007 Paris
Domino's Pizza Paris 7|3,4|373|65 Rue Saint-Dominique, 75007 Paris
Gusto Italia 218|4,3|1362|218 Rue de Grenelle, 75007 Paris
Chez Pippo|4,6|2045|31 Av. de la Bourdonnais, 75007 Paris
GIOCO Paris 7e|4,5|354|25 Av. de Ségur, 75007 Paris
Casa pizza|4,4|19|26 Rue Malar, 75007 Paris
Marzo|4,3|541|5 Rue Paul-Louis Courier, 75007 Paris
CIAO RAGAZZI|4,8|27|22 B Rue Jean Nicot, 75007 Paris
Alfio|4,3|804|43 Av. de la Bourdonnais, 75007 Paris
Restaurant italien la gourmandise|4,5|155|28 Rue Augereau, 75007 Paris
RICCI Eiffel|4,3|390|73 Av. Bosquet, 75007 Paris
Bombona|4,3|134|8 Rue d'Estrées, 75007 Paris
Di Felice|4,4|147|157 Rue de Grenelle, 75007 Paris
Gusto Italia|4,2|465|11 Rue Amélie, 75007 Paris
Al Dente|4,2|144|38 Rue de Varenne, 75007 Paris
Trattoria Dell'Angelo|4,0|1391|6 Av. Rapp, 75007 Paris
Giacomo by Gusto Italia|4,3|142|201 Rue de Grenelle, 75007 Paris
Le Den|4,1|209|167 rue de Grenelle 70007, 75007 Paris
Pizzeria da davide|4,8|8|197 Rue de Grenelle, 75007 Paris
Da Piero Pizza & Pasta|4,5|321|59 Av. de Suffren, 75007 Paris
Gemini|4,1|476|83 Rue Vaneau, 75007 Paris
Capriccio Sorrentino|4,3|555|26 Rue de Monttessuy, 75007 Paris
Casa Cristo|4,5|131|20 Rue Pierre Leroux, 75007 Paris
La Piccolina|3,7|821|31 Av. de la Bourdonnais, 75007 Paris
Gloria|4,5|711|108 Rue Saint-Dominique, 75007 Paris
Carmine Café|4,2|1330|73 Av. de Suffren, 75007 Paris
Angelo Pizzeria|4,5|53|197 Rue de Grenelle, 75007 Paris
Ô Soleil De Naples|4,1|147|56 Rue de Babylone, 75007 Paris
La Scala|3,5|55|5 Rue Paul-Louis Courier, 75007 Paris
Il Grigio|4,2|756|147 Rue Saint-Dominique, 75007 Paris
Su Misura|4,3|117|22 bis Av. Rapp, 75007 Paris
Via Del Campo|4,7|216|22 Rue du Champ de Mars, 75007 Paris
La Commanderie Paris|4,0|318|39 Av. de la Motte-Picquet, 75007 Paris
Toscana|4,1|15|11 Rue Amélie, 75007 Paris
Veramente|4,4|164|2 Rue Sedillot, 75007 Paris
Casa Di Mario|4,6|304|132 Rue du Bac, 75007 Paris
Il Sorrentino|4,4|660|4 Rue de Monttessuy, 75007 Paris
Tavola de Leden|3,3|33|24 Rue Surcouf, 75007 Paris
Da Rocco|4,6|292|119 Rue de Grenelle, 75007 Paris
Casa Germain|4,2|138|83 Rue de l'Université, 75007 Paris
Restaurant Sapori di Parma|4,6|457|56 Av. de la Bourdonnais, 75007 Paris
Dafu|5,0|2|22bis Rue Jean Nicot, 75007 Paris
Central Park Terrazza|4,4|908|3 Pl. de Breteuil, 75007 Paris
Tribeca|4,0|922|36 Rue Cler, 75007 Paris
Seven Food|3,7|158|196 Rue de Grenelle, 75007 Paris
TOUR FOOD|3,9|588|24 Av. de Tourville, 75007 Paris
Piero|4,4|128|44 Rue du Bac, 75007 Paris
Epoca|4,5|680|17 Rue Oudinot, 75007 Paris
Costa d'Amalfi|4,4|254|65 Rue de l'Université, 75007 Paris
Société Evangelista|3,0|157|10 Rue de Bellechasse, 75007 Paris
Caffé Toscano|4,3|117|34 Rue des Saints-Pères, 75007 Paris
Le Sept Quinze|4,3|236|29 Av. de Lowendal, 75015 Paris
Romantica caffe|3,9|416|96 Bd de la Tour-Maubourg, 75007 Paris
15-12|1,5|6|6 Av. Rapp, 75007 Paris
Nicole's|4,0|426|14 Rue de Bellechasse, 75007 Paris
Pizza Fiorentina|3,0|571|7 Bd de Grenelle, 75015 Paris
Primo Piano|3,9|45|Le Bon Marché, 24 Rue de Sèvres, 75007 Paris
Firmine|4,1|2580|38B Av. de Suffren, 75015 Paris
