name|address|comment|comment_rate
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|PAS DE SOUCY  ! merci| 2 étoiles 
Délices naan et Pizza|9 Rue Vicq d'Azir, 75010 Paris|"(Traduit par Google) Cela avait le goût d'excrememt! Les ailes avaient l’impression qu’elles avaient été trempées dans de la pâte à frire et frites.

(Avis d'origine)
It tasted like excrememt ! The wings tasted like it excrement had been dipped in batter and deep fried."| 2 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"(Traduit par Google) C'était une bonne surprise. Nous étions affamés pour une pizzeria au milieu de la nuit. Et voilà. Les pizzas sont bonnes et nous avons pu chanter nos chansons dans notre tête avec les paroles affichées sur l'écran à l'arrière.
Les prix sont très corrects et les gens qui servent sont gentils
Viens et amuse toi

(Avis d'origine)
It was a good surprise. We were starving for a pizza place in the middle of the night. And there it was. The pizzas are good and we were able to sing along to our songs in our head with the lyrics displayed on the screen at the back.
The prices are very ok and the people serving are nice
Come and enjoy"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|| 4 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello ΤΑΣΟΣ ΦΑΛΕΛΑΚΗΣ 😀

Nous sommes navrés que votre expérience n'ait pas été à la hauteur de vos attentes. Pourriez-vous nous donner plus d'explication pour que nous puissions améliorer nos services ?

La team Pizza Time® Châtelet 🍕"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Une très belle surprise.

Dans le cœur de Paris, j'ai découvert il y a déjà quelques mois, ce beau restaurant. Nous sommes italiens et apprécions notre cuisine à l'étranger. Je viens quand je peux assez souvent, étant donné que j'habite désormais en France, e ma mère me suis dès qu'elle vient me voir.
À chaque fois, l'accueil est extrêmement agréable, je confirme les avis qui parlent de ""famille"", les clients sont libres et à l'aise. Ce vendredi 4 novembre, le garçon à l'acceuil et à la prise de commandes a été particulièrement attentif, joyeux, professionnel avec nous. Il était vraiment à l'hauteur de nos exigences! Mais d'ailleurs, lui surtout, il est toujours une garantie de courtoisie et joie.
Très conseillé pour leurs pizzas, et les snacks également, en gros, c'est sûr que l'on trouve de bons produits, le goût et les bons prix sont au rdv, permanence dans une très jolie salle équipée de bonheur. Nous, on vous dit: à très bientôt."| 1 étoile 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Davide 😃

Merci pour votre avis, c'est un véritable plaisir de satisfaire nos clients.

Vous pouvez suivre notre actualité sur nos réseaux sociaux pour connaître toutes nos nouveautés et découvrir l'univers de Pizza Time 😉

La Team Pizza Time® Châtelet 🍕"| 3 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|Le serveur était complètement perdu, le lieu est totalement nul. Et les pizzas, que dire, une catastrophe comme nous en avons rarement vue. En bref, nous recommandons cette expérience à personne.| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Jérémy 😀

Nous vous remercions pour votre retour qui va permettre de nous améliorer.

Nous sommes désolés pour l'accueil que vous avez reçu, nous allons faire le point avec nos équipes pour que ce type de comportement ne se reproduise plus dans notre établissement. 

La team Pizza Time® Châtelet 🍕"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|| 1 étoile 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Faisal Taimoor 😀

Nous sommes navrés que votre expérience n'ait pas été à la hauteur de vos attentes. Pourriez-vous nous donner plus d'explication pour que nous puissions améliorer nos services ?

La team Pizza Time® Châtelet 🍕"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|BEST pizza ever je vous conseille la pizza western supplément Chizzy une merveille très très bonne 👌🏻| 4 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Cam 😁

Merci pour votre avis, nous avons hâte de vous recevoir à nouveau dans notre restaurant.

La team Pizza Time® Châtelet 🍕"| 1 étoile 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Rania 😁

Merci pour votre avis, nous avons hâte de vous recevoir à nouveau dans notre restaurant.

La team Pizza Time® Châtelet 🍕"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|Qualité de service très médiocre. Dernière fois chez Pizza Time grand habitué pourtant| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Yac 😀

Nous vous remercions pour votre retour qui va permettre de nous améliorer.

Nous sommes désolés pour l'accueil que vous avez reçu, nous allons faire le point avec nos équipes pour que ce type de comportement ne se reproduise plus dans notre établissement.

La team Pizza Time® Châtelet 🍕"| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello M 😁

Merci pour votre avis, nous avons hâte de vous recevoir à nouveau dans notre restaurant.

La team Pizza Time® Châtelet 🍕"| 4 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"(Traduit par Google) Bon prix au centre de Paris. Un seul garçon connaissait l'anglais mais il nous a très bien traités. Vous pouvez choisir 3 types de taille de pizza puis un menu tranche, frites et boisson pour moins de 10 euros. Possibilité de différents types de pâte et saveur sur les bords.

(Avis d'origine)
Buen precio en el centro de París. Solo un chico sabía inglés pero nos atendió genial. Puedes elegir 3 tipos de tamaño de pizza y luego un menú de porción, patatas y bebida por menos de 10 euros. Opción de diferentes tipos de masa y sabor en los bordes."| 5 étoiles 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Hello Roberto 😃

Merci pour votre avis.

Chez Pizza Time, le plus important pour nous est de satisfaire nos clients avec des pizzas gourmandes, des ingrédients de qualité et un accueil chaleureux.

La Team Pizza Time® Châtelet 🍕"| 1 étoile 
Pizza Time® Châtelet|33 Rue Saint-Denis, 75001 Paris|"Pizza junior= un quart de pizza ??

Pizza senior = demi pizza ???

Pizza méga = pizza normal ??!?¿

Jamais vue une arnaque aussi grosse"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Tout bonnement délicieux| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Excellentes pizzas, bon service, je recommande| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Les pizzas sont bonnes et originales. Si vous souhaiter emporter une pizza vous devez faire la queue avec les personnes souhaitant manger au restaurant ce qui est long et les pizzas à emporter sont au même prix qu'au restaurant.| 4 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Pizza effectivement très bonnes ! Cocktails également !| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Pizza au top !| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|bonne pizza et la pâte est très bonne| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"The best pizza de ma life !!!!!!!!
Un très bon accueil et franchement, les serveuses et serveurs ont du mérite car ça tourne à fond les ballons ! La pizza était juste, merveilleuse. On comprend pourquoi le chef porte le titre de la meilleure pizza du monde. Beau parcours 💪👏🤩"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Très bon. C’est cher pour une pizza mais vous êtes à Paris vous me direz. Souvent compliqué d’avoir une place.| 4 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Nous avons juste pris un dessert à emporter et c'était TRES généreux et bien bon 😍
On repassera pour goûter vos pizzas !
🍕"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|meilleur pizza à paris| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Andréa était incroyable !!!! & super pizzas

(Avis d'origine)
Andrea was amazing!!!! & great pizza"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Andrea était le meilleur, il a rendu notre nuit ici inoubliable. La pizza était parmi les meilleures que j'ai jamais essayées

(Avis d'origine)
Andrea was the best, he made our night here unforgettable. The pizza was some of the best I’ve ever tried"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Nous avons passé un merveilleux repas et notre serveur Andrea était merveilleux !

(Avis d'origine)
Had a wonderful meal and our waiter Andrea was wonderful!"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Très bonnes pizza, mais... accueil moyen| 3 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Pizza délicieuse, j'y retournerais. Bravo Andréa

(Avis d'origine)
Buonissima pizza, tornerei. Bravo Andrea"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) La pizza était très bonne et Andrea le serveur était très gentil

(Avis d'origine)
La pizza era molto buona ed Andrea il cameriere era molto simpatico"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Très bonne pizza, le serveur Andrea gentil et serviable

(Avis d'origine)
Pizza buonissima, il cameriere Andrea simpatico e disponibile"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Allez chez Pepe car c'est vraiment bon ! Super accueil par la serveuse qui chante ! Très gentille, servie par un serveur sympa aussi, les pizzas sont juste excellente, j'ai pris une genovese au bœuf confit, super bon ! Une ""limonata"" italienne (limonade) et un tiramisu très bon également. Le restaurant est propre, Les prix sont un peu plus cher que les pizzas d'autres restaurant mais elles les valent ! Je vais revenir pour sûr ! Longue vie à Pepe !!!"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|la meilleure pizzeria de paris et ca change des pizza huts ou dominos! un régal| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Serveuse à la caisse très désagréable| 1 étoile 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Très bonnes pizza, dont la champion du monde 🔥🍕| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Rien d’exceptionnel, ne vaut vraiment pas le pub qu’on lui en fait !! 3h de route exprès , je pensais me régaler mais non .. les trottoirs sont très bon et aérée , par contre tout le milieu de la pâte n’est pas cuit ou est ce dû à la condensation avec l’assiettes ? La pâte est toute mole et les ingrédients ne tienne pas dessus ..
côté ingrédient c’est bon mais pas non plus de la super qualité , ne vaut pas le prix … en résumé déçu quand même"| 2 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Le meilleur pizzaïolo du monde ouvre sa pizzeria, que dire de plus... Les pizzas sont aussi belles que bonnes| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Incroyable| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Pizzas au top. Pour ne rien gâcher, tarifs raisonnables.| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Miam. Mais un plus grand choix serait le bienvenu

(Avis d'origine)
Miam. But a larger choice would be welcome"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Bonne pizza andrea très gentil serveur

(Avis d'origine)
Pizza buona cameriere andrea molto gentile"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Très bonne pizza, la meilleure que j'ai mangée à Paris, le serveur andrea très gentil et toujours à l'écoute et serviable.

(Avis d'origine)
Pizza molto buona, la migliore che ho mangiato a Parigi , il cameriere andrea gentilissimo e sempre attento e disponibile."| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 2 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Accueil et service médiocre.  Dommage parce que les pizzas sont plutôt bonnes| 2 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Super accueil ! Nous avons passé un moment très agréable à Peppe Martyrs !
Merci pour tout"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Je me met à parler avec les mains tellement c’était bon.
Malgré le prix un peu plus élevés que dans une pizzeria classique, les pizza valent le détour. Un service également très agréable puisque, avec un serveur souriant, aimable et sympathique. Merci à Andrea pour ce service.
Bisous les p’tits loups"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Très très bonne soirée dans une très très bonne pizzeria avec un très très bon service. Un merci particulier à Andréa pour son sourire, sa gentillesse  et sa sympathie| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Comme d’habitude, le goût est toujours aussi bon chez Peppe:) et avec un serveur souriant , sympathique et réactif, merci bcp Andréa, on reviendra.| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"Excellent.
Pizza originales qui nous transportent en Italie.
Top👌🏻"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Victime de son succès faut réserver plusieurs jours à l'avance mais vous pouvez tenter à l'improviste. Pizzas gourmandes et digestes| 4 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) La meilleure pizza napolitaine que j'ai jamais eue, en plus de l'excellente ante, de la pâte légère, bien aérée et de la fermentation parfaite, vous ne devenez pas lourd. Je le recommande vivement, c'est juste un peu difficile d'accès faute de ligne de métro à proximité, mais ça vaut le coup

(Avis d'origine)
Melhor pizza napolitana que já comi, além do antedimento excelente, massa leve, bem aerada, e fermentação perfeita, você não fica pesado. Super recomendo, só é um pouco difícil o acesso devido a não ter linha de metro perto, mas vale o esforço"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Excellentes pizzas ! Accueil agréable malgré l'affluence. Je recommande !| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Bonne nourriture!! Et personnel très sympathique ! En particulier, notre expérience a été encore meilleure en étant attendu par (Andrea Persia), il était un excellent serveur et s'est assuré que mes amis et moi étions pris en charge et que nos demandes étaient satisfaites! Je reviendrai certainement :)

(Avis d'origine)
Great food!! And very friendly staff! In particular our experience was even better by being waited by (Andrea Persia), he was a great server and made sure my friends and I were taken care of and our demands satisfied! Will definitely be coming back :)"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|"(Traduit par Google) Très bonne pizzeria, je la recommande si vous voulez manger une vraie pizza italienne à Paris.
Félicitations au serveur Andrea, très serviable, bon et gentil.
Je serai bientôt de retour!

(Avis d'origine)
Pizzeria molto buona, la consiglio se volete mangiare una vera pizza italiana a Parigi.
Complimenti al cameriere Andrea, ragazzo molto disponibile, bravo e gentile.
Tornerò presto!"| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|Délicieux! Les plats sont copieux, la pâte à pizza est très bonne, c’est parfait! 👌| 5 étoiles 
Peppe Pizzeria|2 Pl. Saint-Blaise, 75020 Paris|ce n'est pas comme vue à la publicité. Moi, perso, c'est pas ouf.| 3 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Service au top avec ded pizza au top et un personnel serviable et aimable je vous recommandé  Dinapoli!!| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|La pizza n'a aucun goût, j'ai arrêté après une part car à quoi bon manger ?| 3 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Les pizzas trop bonne| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Je valide fort, vos pizza sont délicieux je passe souvent et j’ai ramener beaucoup de mes amis à moi la bas eux tous ont validé continuer de nos produire de la qualité changez pas| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|"Pates à 6€50, sauce faite à la demande devant le client.
Très bon et pas cher.
Merci"| 4 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Waw, incroyable saveurs très accueillant peux chère et de la qualité !| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Je mettrais bien 5 étoiles mais je n'adore que Mon Créateur. Heureusement tout le monde ne connaît pas ce restaurant incontournable dans le quartier, il y aurait trop d'attente sinon.| 4 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Toujours bien accueilli  pizza exquise| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Toujours un régale lorsque je commande des pizzas chez Dinapoli ! Personne très aimable et sympathique. Les pizzas sont excellentes et à un prix très raisonnable ! Je recommande mille fois !| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|"(Traduit par Google) Magnifique !!!!

(Avis d'origine)
Magnifico!!!!"| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|Personnel sympathique, pizza très bonne et pas cher dutout. L'intérieur est propre et ordonné. Parfait| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|"(Traduit par Google) Incroyable J'aime la qualité des ingrédients.

(Avis d'origine)
Amazing 😋 I like the quality of the ingredients."| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|"(Traduit par Google) Délicieux 😋😋

(Avis d'origine)
Delicious 😋😋"| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|"Vraiment, si vous voulez manger une pizza mode  ""Italienne"",  c'est là qu'il faut venir. Ces 2 responsables, certes ne sont pas italiens, mais ils ont sejourné dans le pays de la Pizza, la vraie, et savent à merveille reproduire les gestes. La pâte des pizzas est fine, bien cuite et tendre à la fois. Quant aux ingrédients, ils sont en quantité et de la plus grande fraîcheur et le tour pour 7€90 la max. Sans compter les pâtes dont  j'ai chaque assiette se préparer de façon complètement artisanale... bon appétit !"| 5 étoiles 
Dinapoli Pizza Paris 20.|1 B Rue de la Réunion, 75020 Paris|| 4 étoiles 
